Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2022-07-22 17:06:14 UTC,Staking Income,XTZ,0.154186,USD,1.68,0.26,0.26,0,
2022-07-22 16:56:18 UTC,Receive,ADA,0.096921,USD,0.49,0.05,0.05,0,Received 0.096921 ADA from Coinbase Rewards
2022-07-16 14:48:30 UTC,Receive,ADA,0.095641,USD,0.44,0.04,0.04,0,Received 0.095641 ADA from Coinbase Rewards
2022-07-12 15:37:40 UTC,Receive,ADA,0.04808,USD,0.44,0.02,0.02,0,Received 0.04808 ADA from Coinbase Rewards
2022-07-12 05:11:07 UTC,Staking Income,ATOM,0.008609,USD,8.25,0.07,0.07,0,
2022-07-11 14:52:36 UTC,Staking Income,XTZ,0.151886,USD,1.66,0.25,0.25,0,
2022-07-08 12:37:22 UTC,Receive,ADA,0.071755,USD,0.47,0.03,0.03,0,Received 0.071755 ADA from Coinbase Rewards
2022-07-06 16:04:54 UTC,Staking Income,XTZ,0.15767,USD,1.51,0.24,0.24,0,
2022-07-03 15:13:37 UTC,Receive,ADA,0.07254,USD,0.45,0.03,0.03,0,Received 0.07254 ADA from Coinbase Rewards
2022-07-03 13:57:57 UTC,Staking Income,XTZ,0.14836,USD,1.40,0.21,0.21,0,
2022-07-01 14:01:56 UTC,Staking Income,XTZ,0.152121,USD,1.37,0.21,0.21,0,
2022-06-30 23:51:55 UTC,Staking Income,ATOM,0.023468,USD,7.59,0.18,0.18,0,
2022-06-30 06:04:05 UTC,Staking Income,ATOM,0.028999,USD,7.43,0.22,0.22,0,
2022-06-30 02:56:30 UTC,Staking Income,ATOM,0.000208,USD,7.47,0.00,0.00,0,
2022-06-28 19:45:13 UTC,Staking Income,XTZ,0.154732,USD,1.55,0.24,0.24,0,
2022-06-28 13:10:32 UTC,Staking Income,XTZ,0.157171,USD,1.64,0.26,0.26,0,
2022-06-27 21:24:43 UTC,Staking Income,XTZ,0.157936,USD,1.59,0.25,0.25,0,
2022-06-26 09:54:06 UTC,Receive,ADA,0.08886,USD,0.51,0.05,0.05,0,Received 0.08886 ADA from Coinbase Rewards
2022-06-25 20:22:04 UTC,Staking Income,XTZ,0.153114,USD,1.50,0.23,0.23,0,
2022-06-24 23:20:57 UTC,Staking Income,XTZ,0.162461,USD,1.55,0.25,0.25,0,
2022-06-23 22:23:26 UTC,Staking Income,XTZ,0.162234,USD,1.43,0.23,0.23,0,
2022-06-23 10:38:07 UTC,Receive,ADA,0.086854,USD,0.47,0.04,0.04,0,Received 0.086854 ADA from Coinbase Rewards
2022-06-23 01:51:31 UTC,Staking Income,XTZ,0.157706,USD,1.38,0.22,0.22,0,
2022-06-22 18:30:18 UTC,Staking Income,XTZ,0.249273,USD,1.37,0.34,0.34,0,
2022-06-22 17:55:31 UTC,Staking Income,XTZ,0.152795,USD,1.37,0.21,0.21,0,
2022-06-22 01:56:00 UTC,Staking Income,XTZ,0.154272,USD,1.38,0.21,0.21,0,
2022-06-22 00:29:33 UTC,Staking Income,XTZ,0.161489,USD,1.41,0.23,0.23,0,
2022-06-19 12:46:51 UTC,Receive,ADA,0.082927,USD,0.46,0.04,0.04,0,Received 0.082927 ADA from Coinbase Rewards
2022-06-19 05:32:16 UTC,Staking Income,XTZ,0.162212,USD,1.22,0.20,0.20,0,
2022-06-18 15:24:29 UTC,Staking Income,XTZ,0.153929,USD,1.29,0.20,0.20,0,
2022-06-18 01:04:29 UTC,Staking Income,XTZ,0.170206,USD,1.41,0.24,0.24,0,
2022-06-17 01:42:48 UTC,Staking Income,XTZ,0.082527,USD,1.42,0.12,0.12,0,
2022-06-16 01:07:19 UTC,Staking Income,ATOM,0.047056,USD,7.28,0.34,0.34,0,
2022-06-15 21:56:16 UTC,Staking Income,XTZ,0.155029,USD,1.49,0.23,0.23,0,
2022-06-15 12:02:49 UTC,Staking Income,XTZ,0.171274,USD,1.37,0.23,0.23,0,
2022-06-14 01:00:45 UTC,Staking Income,XTZ,0.154355,USD,1.33,0.21,0.21,0,
